variable,BM1,BMS,OU1,OUM,OUMV,OUMA,OUMVA,best,trait
stemarea,297.250987954723,302.50423026263,299.308515082554,295.724964045275,302.562665274816,298.48392837254,277.011278142962,OUMVA,Leaf.Structure
stemarea,297.250987954723,306.324441100641,299.308515082554,301.889292572228,308.433658587847,-2125.06640608297,281.53670538756,OUMA,Leaf.Structure
stemarea,297.250987954723,303.902127283693,299.308515082554,297.332734975719,304.44286112421,-2192.0575903506,291.462680489763,OUMA,Leaf.Structure
stemarea,297.250987954723,300.908538323549,299.308515082554,292.502602277056,297.977215811417,-3572.64911976233,-2030.13159844711,OUMA,Leaf.Structure
stemarea,297.250987954723,308.40817217698,299.308515082554,303.548676606518,310.814987143674,303.876445835736,276.878452838025,OUMVA,Leaf.Structure
stemarea,297.250987954723,309.070820755387,299.308515082554,303.585939425663,310.470586684465,296.767042513813,-831.47633167866,OUMVA,Leaf.Structure
stemarea,297.250987954723,306.267011108805,299.308515082554,299.286100495449,305.822554337209,301.278147973126,-2591.61281952335,OUMVA,Leaf.Structure
stemarea,297.250987954723,308.604606335521,299.308515082554,303.311692771096,310.721548007976,302.63928515931,290.372034003239,OUMVA,Leaf.Structure
stemarea,297.250987954723,304.943498391779,299.308515082554,298.444966834724,305.659178641259,299.209126779625,294.984520958913,OUMVA,Leaf.Structure
stemarea,297.250987954723,309.336267665655,299.308515082554,304.48941624399,311.431252163783,308.717692362272,298.35068241629,BM1,Leaf.Structure
stemarea,297.250987954723,304.312919756055,299.308515082554,297.112598292193,303.088231934427,-4432.65282996012,304.341334662475,OUMA,Leaf.Structure
stemarea,297.250987954723,297.963249550724,299.308515082554,298.394068393887,298.282029707839,298.865700347482,291.044400196817,OUMVA,Leaf.Structure
stemarea,297.250987954723,306.015180774185,299.308515082554,301.309106867691,306.50788744052,-4081.63619958187,308.091600519381,OUMA,Leaf.Structure
stemarea,297.250987954723,303.497551054559,299.308515082554,302.633608428262,305.822338857302,-2346.17051995914,306.438609617216,OUMA,Leaf.Structure
stemarea,297.250987954723,303.444373052917,299.308515082554,298.738725439036,301.234991304107,-3617.16677201176,271.316121159406,OUMA,Leaf.Structure
stemarea,297.250987954723,298.572013333852,299.308515082554,293.898072987384,296.761373454078,-2230.50341670593,-2144.81000853587,OUMA,Leaf.Structure
stemarea,297.250987954723,302.107913799212,299.308515082554,296.297414207065,303.58862647937,300.479367660367,281.001081282963,OUMVA,Leaf.Structure
stemarea,297.250987954723,302.863466391918,299.308515082554,298.631335218335,303.557416742806,297.013852509662,278.373717153343,OUMVA,Leaf.Structure
stemarea,297.250987954723,306.574028717582,299.308515082554,302.195743998069,308.918333004559,-1501.79946202608,305.606547600031,OUMA,Leaf.Structure
stemarea,297.250987954723,303.01925626066,299.308515082554,303.505822697802,302.852912803965,305.410538519865,303.470983369504,BM1,Leaf.Structure
stemarea,297.250987954723,295.985873703368,299.308515082554,294.894043713318,284.397603574545,-1376.40371774304,-1402.79017080719,OUMVA,Leaf.Structure
stemarea,297.250987954723,303.958987836713,299.308515082554,298.53171901602,302.850802476761,301.328834591987,302.284210591557,BM1,Leaf.Structure
stemarea,297.250987954723,293.852308388953,299.308515082554,289.151372119092,292.465462517479,293.936764697435,-1254.6631890603,OUMVA,Leaf.Structure
stemarea,297.250987954723,304.848381225728,299.308515082554,299.221508303135,304.947214388598,300.589781838192,284.071090418343,OUMVA,Leaf.Structure
stemarea,297.250987954723,308.116963564806,299.308515082554,301.805225233551,308.26366142733,307.72193506002,294.684984405929,OUMVA,Leaf.Structure
stemarea,297.250987954723,301.731701629907,299.308515082554,298.906299941569,303.722970631911,300.456004946149,307.604755039446,BM1,Leaf.Structure
stemarea,297.250987954723,299.732952856696,299.308515082554,298.29709741355,299.360047065904,303.092514166581,-1416.0436442451,OUMVA,Leaf.Structure
stemarea,297.250987954723,298.44095946362,299.308515082554,297.729460867248,299.368066817153,300.604377686559,-1069.85961940817,OUMVA,Leaf.Structure
stemarea,297.250987954723,309.806809308822,299.308515082554,304.9774182643,311.825540554662,308.340738725121,-1669.90481272612,OUMVA,Leaf.Structure
stemarea,297.250987954723,306.35340048583,299.308515082554,300.421383778395,305.791223843862,304.629266551574,273.898521827211,OUMVA,Leaf.Structure
stemarea,297.250987954723,307.373248526605,299.308515082554,301.71198021319,308.312363267817,-1714.3913434149,279.829491480256,OUMA,Leaf.Structure
